program_name,current_ratio,ratio_a,ratio_b,caja_code,market_id,origin_ticker,issuer
VISTA ENERGY S.A.B. de C.V,3:1,3,1,8527,VIST,VIST,BANCO_COMAFI
VODAFONE GROUP PLC-SP ADR,1:1,1,1,8064,VOD,VOD,BANCO_COMAFI
WALGREENS BOOTS ALLIANCE INC,3:1,3,1,8542,WBA,WBA,BANCO_COMAFI
WALMART INC,18:1,18,1,8044,WMT,WMT,BANCO_COMAFI
WALT DISNEY CO/THE,12:1,12,1,8017,DISN,DIS,BANCO_COMAFI
WEIBO CORP-SPON ADR,6:1,6,1,8513,WBO,WB,BANCO_COMAFI
WELLS FARGO & CO,5:1,5,1,8047,WFC,WFC,BANCO_COMAFI
XEROX HOLDINGS CORP,1:1,1,1,8490,XRX,XRX,BANCO_COMAFI
XP INC,4:1,4,1,8567,XP,XP,BANCO_COMAFI
YANKUANG ENERGY GROUP CO. LTD.,2:1,2,1,8397,YZCA,YZCAY,BANCO_COMAFI
YELP INC,2:1,2,1,8491,YELP,YELP,BANCO_COMAFI
"ZOOM COMMUNICATIONS, INC",47:1,47,1,8543,ZM,ZM,BANCO_COMAFI
SPDR S&P 500,60:1,60,1,8549,SPY,SPY,CAJA_DE_VALORES
INVESCO QQQ TRUST,20:1,20,1,8550,QQQ,QQQ,CAJA_DE_VALORES
ISHARES TRUST RUSSELL 2000,10:1,10,1,8551,IWM,IWM,CAJA_DE_VALORES
ISHARES MSCI EMERGING MARKET,5:1,5,1,8552,EEM,EEM,CAJA_DE_VALORES
FINANCIAL SELECT SECTOR SPDR FUND,2:1,2,1,8553,XLF,XLF,CAJA_DE_VALORES
ENERGY SELECT SECTOR SPDR FUND,2:1,2,1,8554,XLE,XLE,CAJA_DE_VALORES
SPDR DOW JONES INDUSTRIAL,20:1,20,1,8555,DIA,DIA,CAJA_DE_VALORES
ISHARES MSCI BRAZIL CAP,2:1,2,1,8556,EWZ,EWZ,CAJA_DE_VALORES
ARK INNOVATION,10:1,10,1,8557,ARKK,ARKK,CAJA_DE_VALORES
PROSHARES SHORT S&P500,8:1,8,1,8657,SH,SH,CAJA_DE_VALORES
ETF SPDR GOLD TRUST,50:1,50,1,8658,GLD,GLD,CAJA_DE_VALORES
ISHARES ETHEREUM TR ETF,5:1,5,1,8659,ETHA,ETHA,CAJA_DE_VALORES
GLOBAL X URANIUM ETF,5:1,5,1,8694,URA,URA,CAJA_DE_VALORES
VAN ECK SEMICONDUCTOR ETF,50:1,50,1,8695,SMH,SMH,CAJA_DE_VALORES
DIREXION DAILY S&P 500 BULL 3X,25:1,25,1,8696,SPXL,SPXL,CAJA_DE_VALORES
UTILITIES SELECT SECTOR SPDR FUND,15:1,15,1,8697,XLU,XLU,CAJA_DE_VALORES
FIRST TRUST NASDAQ CYBERSECURITY,10:1,10,1,8698,CIBR,CIBR,CAJA_DE_VALORES
PROSHARES ULTRAPRO QQQ,25:1,25,1,8705,TQQQ,TQQQ,CAJA_DE_VALORES
IPATH SERIES B S&P 500 VIX,5:1,5,1,8706,VXX,VXX,CAJA_DE_VALORES
ISHARES US AEROSPACE & DEFENSE ETFX,50:1,50,1,8707,ITA,ITA,CAJA_DE_VALORES
ISHARES GLOBAL CLEAN ENERGY ETF,5:1,5,1,8723,ICLN,ICLN,CAJA_DE_VALORES
ISHARES MSCI SOUTH KOREA ETF,50:1,50,1,8724,EWY,EWY,CAJA_DE_VALORES
STATE STREET SPDR S&P METALS & MINING ETF,30:1,30,1,8725,XME,XME,CAJA_DE_VALORES
INVESCO S&P 500 EQL WGHT ETF,30:1,30,1,8726,RSP,RSP,CAJA_DE_VALORES
FORD MOTOR COMPANY,1:1,1,1,8571,F,F,CAJA_DE_VALORES
ROBLOX CORP.,2:1,2,1,8572,RBLX,RBLX,CAJA_DE_VALORES
UNITED AIRLINES HOLDINGS INC.,5:1,5,1,8573,UAL,UAL,CAJA_DE_VALORES
SATELLOGIC INC.,1:1,1,1,8574,SATL,SATL,CAJA_DE_VALORES
MICRON TECHNOLOGY INC,5:1,5,1,8575,MU,MU,CAJA_DE_VALORES
OCCIDENTAL PETROLEUM CORP.,5:1,5,1,8576,OXY,OXY,CAJA_DE_VALORES
UBER TECHNOLOGIES INC.,2:1,2,1,8577,UBER,UBER,CAJA_DE_VALORES
UPSTART HLDGS INC,5:1,5,1,8578,UPST,UPST,CAJA_DE_VALORES
PALO ALTO NETWORKS INC,50:1,50,1,8579,PANW,PANW,CAJA_DE_VALORES
THE MOSAIC CO,5:1,5,1,8580,MOS,MOS,CAJA_DE_VALORES
MICROSTRATEGY INC CL A NEW,20:1,20,1,8581,MSTR,MSTR,CAJA_DE_VALORES
SILVERGATE BANCORP,10:1,10,1,8582,SI,SICPQ,CAJA_DE_VALORES
BITFARMS LTD.,1:5,1,5,8583,KEEL,KEEL,CAJA_DE_VALORES
HUT 8 MINING CORP.,5:1,5,1,8584,HUT,HUT,CAJA_DE_VALORES
AIRBNB INC,15:1,15,1,8585,ABNB,ABNB,CAJA_DE_VALORES
ADR JUMIA TECHNOLOGIES AG,1:1,1,1,8586,JMIA,JMIA,CAJA_DE_VALORES
VALE S.A.,1:1,1,1,8601,VALE3,VALE3,CAJA_DE_VALORES
PETROBRAS - PETROLEO BRASILERO S.A.,1:1,1,1,8602,PETR3,PETR3,CAJA_DE_VALORES
BANCO BRADESCO S.A.,1:1,1,1,8603,BBDC3,BBDC3,CAJA_DE_VALORES
MAGAZINE LUIZA S.A.,1:1,1,1,8604,MGLU3,MGLU3,CAJA_DE_VALORES
BANCO ITAÚ UNIBANCO S.A.,1:1,1,1,8605,ITUB3,ITUB3,CAJA_DE_VALORES
PETRO RIO S.A.,2:1,2,1,8606,PRIO3,PRIO3,CAJA_DE_VALORES
BANCO DO BRASIL S.A.,2:1,2,1,8607,BBAS3,BBAS3,CAJA_DE_VALORES
LOCALIZA RENT A CAR S.A.,2:1,2,1,8608,RENT3,RENT3,CAJA_DE_VALORES
SUZANO S.A.,1:1,1,1,8611,SUZB3,SUZB3,CAJA_DE_VALORES
AMBEV S.A.,1:1,1,1,8612,ABEV3,ABEV3,CAJA_DE_VALORES
HAPVIDA PARTICIPACOES E INVESTIMENTOS S.A.,1:1,1,1,8613,HAPV3,HAPV3,CAJA_DE_VALORES
LOJAS RENNER S.A.,1:1,1,1,8615,LREN3,LREN3,CAJA_DE_VALORES
COMPANHIA SIDERÚRGICA NACIONAL S.A.,1:1,1,1,8617,CSNA3,CSNA3,CAJA_DE_VALORES
BANCO BTG PACTUAL S.A. UNIT,1:1,1,1,8618,BPA11,BPAC11,CAJA_DE_VALORES
NATURA COSMETICOS SA,1:1,1,1,8619,NATU3,NATU3,CAJA_DE_VALORES
WEG S.A.,1:1,1,1,8620,WEGE3,WEGE3,CAJA_DE_VALORES
CIA SANEAMENTO BASICO DE SP,1:1,1,1,8623,SBSP3,SBSP3,CAJA_DE_VALORES
TELEFONICA BRASIL S.A.,1:1,1,1,8624,VIVT3,VIVT3,CAJA_DE_VALORES
TIM S.A.,1:1,1,1,8625,TIMS3,TIMS3,CAJA_DE_VALORES
